id	latitude	longitude	datetime	tag_id
39362	42.626127	9.488831	2019-09-16 16:27:42	2
39375	42.626127	9.488831	2019-09-16 16:27:42	1
39376	42.626162	9.488881	2019-09-16 16:27:43	1
39377	42.626204	9.488868	2019-09-16 16:27:44	1
39378	42.626277	9.488850	2019-09-16 16:27:45	1
39379	42.625940	9.489074	2019-09-16 16:28:49	1
39380	42.625911	9.489086	2019-09-16 16:28:50	1
39381	42.625899	9.489060	2019-09-16 16:28:51	1
39382	42.625924	9.489066	2019-09-16 16:28:52	1
39383	42.625910	9.489039	2019-09-16 16:28:53	1
39384	42.625756	9.489200	2019-09-16 16:29:57	1
39385	42.625694	9.489242	2019-09-16 16:29:57	1
39386	42.625750	9.489200	2019-09-16 16:29:58	1
39387	42.625666	9.489318	2019-09-16 16:29:58	1
39388	42.625698	9.489217	2019-09-16 16:29:59	1
39389	42.625676	9.489190	2019-09-16 16:30:00	1
39390	42.625407	9.489497	2019-09-16 16:31:16	1
39391	42.625391	9.489533	2019-09-16 16:31:17	1
39392	42.625400	9.489493	2019-09-16 16:31:18	1
39393	42.625386	9.489491	2019-09-16 16:31:19	1
39394	42.625393	9.489452	2019-09-16 16:31:19	1
39395	42.625396	9.489508	2019-09-16 16:31:20	1
39396	42.625149	9.489719	2019-09-16 16:32:39	1
39397	42.625147	9.489731	2019-09-16 16:32:40	1
39398	42.625125	9.489692	2019-09-16 16:32:40	1
39399	42.624825	9.489932	2019-09-16 16:34:02	1
39400	42.624816	9.489904	2019-09-16 16:34:04	1
39401	42.624983	9.490076	2019-09-16 16:35:04	1
39402	42.624929	9.489921	2019-09-16 16:35:06	1
39403	42.625073	9.490142	2019-09-16 16:35:07	1
39404	42.625516	9.490155	2019-09-16 16:36:15	1
39405	42.625547	9.490116	2019-09-16 16:36:16	1
39406	42.625508	9.490231	2019-09-16 16:36:16	1
39407	42.625807	9.490373	2019-09-16 16:37:02	1
39408	42.625853	9.490305	2019-09-16 16:37:05	1
39409	42.626188	9.490504	2019-09-16 16:37:56	1
39410	42.626135	9.490579	2019-09-16 16:37:57	1
39411	42.626488	9.490485	2019-09-16 16:38:56	1
39412	42.626471	9.490479	2019-09-16 16:38:58	1
39413	42.626239	9.490053	2019-09-16 16:39:54	1
39414	42.626288	9.490011	2019-09-16 16:39:55	1
39415	42.626289	9.490014	2019-09-16 16:39:55	1
39416	42.626278	9.490034	2019-09-16 16:39:56	1
39417	42.626302	9.489998	2019-09-16 16:39:57	1
39418	42.626291	9.490005	2019-09-16 16:39:58	1
39419	42.626167	9.489327	2019-09-16 16:41:18	1
39420	42.626198	9.489057	2019-09-16 16:41:50	1
39421	42.626118	9.489048	2019-09-16 16:41:52	1
39422	42.626113	9.488298	2019-09-16 16:43:19	1
39423	42.625995	9.488305	2019-09-16 16:43:50	1
39424	42.625944	9.488291	2019-09-16 16:43:52	1
39425	42.625925	9.488329	2019-09-16 16:43:53	1
39426	42.625882	9.488701	2019-09-16 16:44:50	1
39427	42.625938	9.488677	2019-09-16 16:44:51	1
39428	42.625899	9.488710	2019-09-16 16:44:53	1
39429	42.625741	9.489259	2019-09-16 16:44:53	1
39430	42.625741	9.489259	2019-09-16 16:44:53	1
39431	42.625847	9.488859	2019-09-16 16:45:37	1
39432	42.625943	9.488994	2019-09-16 16:45:38	1
39433	42.626004	9.488986	2019-09-16 16:45:38	1
39434	42.625943	9.488994	2019-09-16 16:45:38	1
39435	42.626004	9.488986	2019-09-16 16:45:38	1
39436	42.625948	9.489032	2019-09-16 16:45:40	1
39437	42.625925	9.489222	2019-09-16 16:46:11	1
39438	42.625808	9.489720	2019-09-16 16:47:38	1
39439	42.625782	9.489765	2019-09-16 16:47:39	1
39440	42.625723	9.489891	2019-09-16 16:48:11	1
39441	42.626395	9.489778	2019-09-16 16:48:11	1
39442	42.625728	9.489894	2019-09-16 16:48:12	1
39443	42.625551	9.490339	2019-09-16 16:49:37	1
39444	42.625538	9.490322	2019-09-16 16:49:39	1
39445	42.625560	9.490418	2019-09-16 16:49:41	1
39446	42.625517	9.490657	2019-09-16 16:50:21	1
39447	42.625510	9.490622	2019-09-16 16:50:22	1
39448	42.625439	9.491039	2019-09-16 16:51:33	1
39449	42.625311	9.491072	2019-09-16 16:52:25	1
39450	42.625383	9.491340	2019-09-16 16:52:27	1
39451	42.625361	9.491242	2019-09-16 16:55:33	1
39452	42.625394	9.491143	2019-09-16 16:55:34	1
39453	42.625441	9.491030	2019-09-16 16:55:36	1
39454	42.625354	9.490567	2019-09-16 16:56:39	1
39455	42.625402	9.490564	2019-09-16 16:56:39	1
39456	42.625356	9.490560	2019-09-16 16:56:40	1
39457	42.625340	9.490628	2019-09-16 16:56:40	1
39458	42.625336	9.490577	2019-09-16 16:56:41	1
39459	42.625310	9.490651	2019-09-16 16:56:41	1
39460	42.625411	9.490494	2019-09-16 16:56:42	1
39461	42.625310	9.489890	2019-09-16 16:57:56	1
39462	42.625308	9.489896	2019-09-16 16:57:57	1
39463	42.625311	9.489886	2019-09-16 16:57:57	1
39464	42.625267	9.489835	2019-09-16 16:57:58	1
39465	42.625328	9.489362	2019-09-16 16:59:01	1
39466	42.625255	9.489312	2019-09-16 16:59:02	1
39467	42.625268	9.489301	2019-09-16 16:59:04	1
39468	42.625249	9.489277	2019-09-16 16:59:05	1
39469	42.625270	9.488964	2019-09-16 16:59:42	1
39470	42.625269	9.489012	2019-09-16 16:59:43	1
39471	42.625263	9.488958	2019-09-16 16:59:43	1
39472	42.625260	9.488951	2019-09-16 16:59:44	1
39473	42.625352	9.488951	2019-09-16 16:59:45	1
39474	42.625218	9.488860	2019-09-16 16:59:46	1
39475	42.625054	9.487932	2019-09-16 17:02:03	1
39476	42.624934	9.487672	2019-09-16 17:02:03	1
39477	42.624985	9.487663	2019-09-16 17:02:42	1
39478	42.624943	9.487577	2019-09-16 17:02:43	1
39479	42.624936	9.487602	2019-09-16 17:03:23	1
39480	42.624903	9.487381	2019-09-16 17:03:24	1
39481	42.624775	9.487299	2019-09-16 17:04:43	1
40370	42.626055	9.489102	2019-09-16 16:25:28	2
40371	42.626252	9.489045	2019-09-16 16:26:22	2
40372	42.626101	9.488869	2019-09-16 16:27:52	2
40373	42.626144	9.488942	2019-09-16 16:27:56	2
40374	42.626163	9.488940	2019-09-16 16:28:06	2
40375	42.626098	9.488961	2019-09-16 16:28:08	2
40376	42.625917	9.489318	2019-09-16 16:28:27	2
40377	42.626012	9.489017	2019-09-16 16:28:28	2
40378	42.626071	9.489019	2019-09-16 16:28:30	2
40379	42.625895	9.489097	2019-09-16 16:29:07	2
40380	42.625850	9.489092	2019-09-16 16:29:11	2
40381	42.625853	9.489086	2019-09-16 16:29:13	2
40382	42.625846	9.489104	2019-09-16 16:29:15	2
40383	42.625804	9.489101	2019-09-16 16:29:23	2
40384	42.625883	9.489095	2019-09-16 16:29:25	2
40385	42.625765	9.489136	2019-09-16 16:29:33	2
40386	42.625754	9.489226	2019-09-16 16:29:35	2
40387	42.625726	9.489183	2019-09-16 16:29:49	2
40388	42.625736	9.489209	2019-09-16 16:29:51	2
40389	42.625700	9.489190	2019-09-16 16:29:55	2
40390	42.625681	9.489270	2019-09-16 16:29:57	2
40391	42.625679	9.489313	2019-09-16 16:30:03	2
40392	42.625642	9.489256	2019-09-16 16:30:11	2
40393	42.625630	9.489251	2019-09-16 16:30:13	2
40394	42.625593	9.489307	2019-09-16 16:30:23	2
40395	42.625590	9.489298	2019-09-16 16:30:25	2
40396	42.625655	9.489300	2019-09-16 16:30:27	2
40397	42.625498	9.489436	2019-09-16 16:30:47	2
40398	42.625542	9.489370	2019-09-16 16:30:49	2
